	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
72	1.4244e-02	8.1831e-03	6.7397e-03	6.5928e-03	4.6762e-03	4.0636e-03	4.9742e-03	3.7833e-03	3.8405e-03	2.0255e-02	1.0416e-02	6.8275e-03	3.1133e-01	1.7287e-01	8.2978e-02	5.5055e-02	2.8824e-02	1.4368e-02	2.8133e-02	1.7523e-02	1.1139e-02	1.0992e-01	6.1878e-02	2.2802e-02
74	1.2201e-02	6.9210e-03	6.1747e-03	5.7629e-03	4.0515e-03	3.6776e-03	4.5127e-03	3.2558e-03	3.3882e-03	2.0553e-02	1.1029e-02	7.8121e-03	2.9950e-01	1.6521e-01	8.0987e-02	5.2484e-02	2.7174e-02	1.3874e-02	2.6778e-02	1.6408e-02	1.0462e-02	1.0444e-01	5.7832e-02	2.0570e-02
76	1.1875e-02	7.0102e-03	6.2119e-03	5.7398e-03	4.1746e-03	3.7118e-03	4.0130e-03	2.6876e-03	2.8722e-03	2.0325e-02	1.1239e-02	8.0896e-03	2.8685e-01	1.6388e-01	7.9298e-02	4.8783e-02	2.5614e-02	1.3900e-02	2.5297e-02	1.5759e-02	1.0077e-02	9.8764e-02	5.3735e-02	1.9784e-02
78	1.1959e-02	7.0986e-03	5.5637e-03	6.0111e-03	4.4765e-03	3.5521e-03	3.5893e-03	2.2318e-03	2.6682e-03	1.9473e-02	1.0760e-02	7.5113e-03	2.7932e-01	1.5978e-01	7.6967e-02	4.6063e-02	2.4194e-02	1.3740e-02	2.4871e-02	1.5816e-02	1.0093e-02	9.3430e-02	4.9888e-02	1.9666e-02
80	1.1539e-02	6.6605e-03	4.4290e-03	5.9968e-03	4.4045e-03	3.1797e-03	3.3883e-03	2.1686e-03	2.6532e-03	1.7950e-02	9.6655e-03	6.3277e-03	2.7474e-01	1.5675e-01	7.7367e-02	4.3378e-02	2.3512e-02	1.3353e-02	2.5103e-02	1.6284e-02	1.0524e-02	8.7188e-02	4.6699e-02	1.9296e-02
82	1.0534e-02	5.6789e-03	3.1545e-03	5.4798e-03	3.8670e-03	2.6298e-03	3.3830e-03	2.2404e-03	2.8101e-03	1.6285e-02	8.3049e-03	5.1139e-03	2.7391e-01	1.5431e-01	8.1444e-02	4.2231e-02	2.2261e-02	1.2740e-02	2.5376e-02	1.6538e-02	1.0622e-02	8.1493e-02	4.3372e-02	1.8402e-02
84	9.3490e-03	4.6933e-03	2.3001e-03	4.6755e-03	3.1253e-03	2.1676e-03	3.3662e-03	2.2874e-03	2.9227e-03	1.4797e-02	6.9920e-03	3.9442e-03	2.7867e-01	1.5531e-01	8.2924e-02	3.9797e-02	2.1653e-02	1.2273e-02	2.5349e-02	1.6428e-02	1.0304e-02	7.7153e-02	4.0682e-02	1.7208e-02
86	8.3151e-03	3.9583e-03	1.9150e-03	3.9988e-03	2.6061e-03	1.9624e-03	3.2680e-03	2.2089e-03	2.8776e-03	1.3588e-02	6.1811e-03	3.1423e-03	2.8453e-01	1.5886e-01	8.0199e-02	3.7816e-02	2.0683e-02	1.1574e-02	2.4985e-02	1.5801e-02	9.4002e-03	7.3244e-02	3.8284e-02	1.6108e-02
88	7.3890e-03	3.3813e-03	1.7883e-03	3.7147e-03	2.4453e-03	1.9364e-03	3.0976e-03	2.0343e-03	2.7258e-03	1.2749e-02	6.0212e-03	3.1706e-03	2.8476e-01	1.5319e-01	7.5059e-02	3.6381e-02	1.9141e-02	1.0545e-02	2.3934e-02	1.4659e-02	8.1880e-03	6.9753e-02	3.6056e-02	1.5067e-02
90	6.6796e-03	2.9948e-03	1.6599e-03	3.5952e-03	2.4001e-03	1.9130e-03	2.9131e-03	1.8507e-03	2.5361e-03	1.2298e-02	6.1562e-03	3.4133e-03	2.9141e-01	1.4551e-01	7.1281e-02	3.4208e-02	1.7269e-02	9.6217e-03	2.2592e-02	1.3363e-02	6.9528e-03	6.5883e-02	3.3518e-02	1.4062e-02
